ANIO;MINICIO;MES;CODSEXO;CODMUN;MUN112;PROV;ISLA;RECURSO;FRECURSO
2007;03;Marzo;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2007;02;Febrero;Mu;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;05;Mayo;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transporte Secundario
2012;03;Marzo;;35022;Santa Lucía;Las Palmas;Gran Canaria;Guardia Civil;Anulado Indicación Alertante
2011;01;Enero;Ho;35015;Pájara;Las Palmas;Fuerteventura;Médico Urgencias;Asistencia in situ
2011;12;Diciembre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2013;06;Junio;Ho;35028;Tías;Las Palmas;Lanzarote;Policia Local;Informacion sin Seguimiento
2006;11;Noviembre;;38026;Orotava La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2006;10;Octubre;;35004;Arrecife;Las Palmas;Lanzarote;Policia Local;Informacion sin Seguimiento
2008;09;Septiembre;;35021;Santa Brígida;Las Palmas;Gran Canaria;NA;NA
2007;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;03;Marzo;Mu;38030;Puntallana;Tenerife;La Palma;Ambulancia Sanitarizada;Falsa Alarma
2010;03;Marzo;;38015;Garachico;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2012;08;Agosto;Ho;38050;Vallehermoso;Tenerife;La Gomera;Otros;Actuación in situ
2014;03;Marzo;Ho;38006;Arona;Tenerife;Tenerife;Ambulancia Sanitarizada;Transporte Secundario
2014;10;Octubre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2013;09;Septiembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2008;10;Octubre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Guardia Civil;No Valorable / Error
2014;01;Enero;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;05;Mayo;;38026;Orotava La;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2011;02;Febrero;Mu;35020;San Nicolás Tolentino;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Posterior Protocolo
2010;07;Julio;;38006;Arona;Tenerife;Tenerife;Salvamento Maritimo;Varios
2006;07;Julio;Ho;38032;Rosario El;Tenerife;Tenerife;SAR;Actuación in situ
2007;12;Diciembre;;38026;Orotava La;Tenerife;Tenerife;Otros;Actuación in situ
2014;01;Enero;;35004;Arrecife;Las Palmas;Lanzarote;Bomberos;Anulado Indicación Alertante
2008;04;Abril;Ho;38037;Santa Cruz de La Palma;Tenerife;La Palma;Ambulancia SVB;Sin Recurso Disponible
2012;11;Noviembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2011;11;Noviembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2012;03;Marzo;Mu;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVB;Falsa Alarma
2005;08;Agosto;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Rechazo Posterior Protocolo
2007;06;Junio;Mu;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVB;Alta Voluntaria
2007;05;Mayo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;08;Agosto;Ho;35006;Arucas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;05;Mayo;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2013;11;Noviembre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2007;05;Mayo;;38025;Matanza de Acentejo La;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2007;03;Marzo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;02;Febrero;Ho;35012;Mogán;Las Palmas;Gran Canaria;Ambulancia SVB;Sin Recurso Disponible
2008;01;Enero;Mu;35026;Telde;Las Palmas;Gran Canaria;NA;NA
2014;05;Mayo;;38010;Buenavista del Norte;Tenerife;Tenerife;NA;NA
2013;06;Junio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Posterior Protocolo
2007;09;Septiembre;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Policia Local;No Valorable / Error
2013;07;Julio;;35022;Santa Lucía;Las Palmas;Gran Canaria;Guardia Civil;Actuación in situ
2009;09;Septiembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVA;Transporte Urg. Medicalizado
2007;10;Octubre;;38017;Granadilla de Abona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;10;Octubre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2012;09;Septiembre;;35012;Mogán;Las Palmas;Gran Canaria;NA;NA
2012;01;Enero;Ho;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVA;Transporte Urg. Medicalizado
2007;06;Junio;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Transporte Secundario
2007;01;Enero;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVB;Anulado Indicación Alertante
2008;06;Junio;;35004;Arrecife;Las Palmas;Lanzarote;Policia Local;Anulado Indicación Alertante
2011;09;Septiembre;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;NA;NA
2010;07;Julio;;35011;Ingenio;Las Palmas;Gran Canaria;Guardia Civil;Colaboración con Otro Recurso
2008;12;Diciembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;04;Abril;;38006;Arona;Tenerife;Tenerife;Guardia Civil;Rechazo Inicial Protocolo
2006;01;Enero;;38023;Laguna La;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2007;09;Septiembre;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2012;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2009;06;Junio;Ho;38045;Tazacorte;Tenerife;La Palma;Ambulancia SVA;Rechazo Inicial Protocolo
2011;05;Mayo;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2005;05;Mayo;Mu;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVB;Sin Recurso Disponible
2008;07;Julio;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2012;11;Noviembre;Ho;38005;Arico;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;07;Julio;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVA;Transporte Secundario
2013;02;Febrero;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2008;12;Diciembre;Mu;35002;Agüimes;Las Palmas;Gran Canaria;NA;NA
2010;10;Octubre;;35006;Arucas;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2014;06;Junio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Asistencia in situ
2008;01;Enero;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2007;01;Enero;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2009;12;Diciembre;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Rechaza Traslado
2007;09;Septiembre;Mu;35002;Agüimes;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2008;08;Agosto;Mu;38031;Realejos Los;Tenerife;Tenerife;Ambulancia Transporte;Derivado a MTSNU
2007;06;Junio;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;10;Octubre;;35012;Mogán;Las Palmas;Gran Canaria;NA;NA
2008;02;Febrero;Ho;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVB;Sin Recurso Disponible
2014;06;Junio;Mu;35004;Arrecife;Las Palmas;Lanzarote;Cuerpo Nacional de Policia;Intervención Pospuesta
2007;09;Septiembre;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Ya Evacuado
2009;06;Junio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;07;Julio;;38006;Arona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2005;08;Agosto;;35032;Valleseco;Las Palmas;Gran Canaria;NA;NA
2010;11;Noviembre;;38028;Puerto de la Cruz;Tenerife;Tenerife;NA;NA
2012;11;Noviembre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Alta Voluntaria
2012;08;Agosto;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;11;Noviembre;;38031;Realejos Los;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2011;09;Septiembre;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2012;11;Noviembre;;38040;Santiago del Teide;Tenerife;Tenerife;Policia Local;Actuación in situ
2006;09;Septiembre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2006;01;Enero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;01;Enero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Otros;Actuación in situ
2006;03;Marzo;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;05;Mayo;;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;Policia Local;Anulado Indicación Alertante
2011;07;Julio;Ho;35031;Valsequillo;Las Palmas;Gran Canaria;Policia Local;Varios
2014;09;Septiembre;Ho;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Transporte Secundario
2008;09;Septiembre;Ho;38048;Valverde;Tenerife;El Hierro;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;11;Noviembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Otros;Rechazo Inicial Protocolo
2012;11;Noviembre;;35004;Arrecife;Las Palmas;Lanzarote;NA;NA
2008;05;Mayo;Ho;35009;Gáldar;Las Palmas;Gran Canaria;Ambulancia SVB;Sin Recurso Disponible
2008;01;Enero;;38006;Arona;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2005;09;Septiembre;;35017;Puerto Rosario;Las Palmas;Fuerteventura;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2005;10;Octubre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2007;01;Enero;Mu;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;02;Febrero;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Intervención Pospuesta
2014;07;Julio;;38901;Pinar El;Tenerife;El Hierro;Otros;Anulado Indicación Alertante
2008;08;Agosto;Ho;35017;Puerto Rosario;Las Palmas;Fuerteventura;Helicóptero Medicalizado;Transporte Secundario
2010;12;Diciembre;Ho;35018;San Bartolomé Lanzarote;Las Palmas;Lanzarote;NA;Sin Recurso Disponible
2009;11;Noviembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Rechazo Posterior Protocolo
2012;01;Enero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2012;09;Septiembre;;38026;Orotava La;Tenerife;Tenerife;NA;NA
2007;08;Agosto;;38023;Laguna La;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2005;01;Enero;Ho;38037;Santa Cruz de La Palma;Tenerife;La Palma;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2007;03;Marzo;Ho;38008;Breña Alta;Tenerife;La Palma;NA;NA
2012;07;Julio;Mu;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;02;Febrero;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2006;12;Diciembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;12;Diciembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;08;Agosto;Ho;38028;Puerto de la Cruz;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2007;08;Agosto;Mu;38050;Vallehermoso;Tenerife;La Gomera;Médico Urgencias;Informacion sin Seguimiento
2006;04;Abril;Mu;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2012;04;Abril;;35026;Telde;Las Palmas;Gran Canaria;Otros;Informacion sin Seguimiento
2008;10;Octubre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Intervención Pospuesta
2010;11;Noviembre;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;04;Abril;Mu;38031;Realejos Los;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;11;Noviembre;Mu;35027;Teror;Las Palmas;Gran Canaria;NA;NA
2011;03;Marzo;Ho;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Otros;Actuación in situ
2010;11;Noviembre;;35016;Las Palmas;Las Palmas;Gran Canaria;Policia Local;Rechazo Posterior Protocolo
2007;05;Mayo;;38026;Orotava La;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2011;02;Febrero;;38037;Santa Cruz de La Palma;Tenerife;La Palma;Policia Local;Informacion sin Seguimiento
2008;03;Marzo;Ho;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Actuación in situ
2014;12;Diciembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2010;02;Febrero;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Varios
2007;10;Octubre;;38017;Granadilla de Abona;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2007;09;Septiembre;;35026;Telde;Las Palmas;Gran Canaria;Guardia Civil;Informacion sin Seguimiento
2008;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Actuación in situ
2014;08;Agosto;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;04;Abril;;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Anulado Indicación Alertante
2012;08;Agosto;;38005;Arico;Tenerife;Tenerife;Policia Local;Coordinación con PL
2014;03;Marzo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;05;Mayo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia Sanitarizada;Asistencia in situ
2012;12;Diciembre;Mu;35022;Santa Lucía;Las Palmas;Gran Canaria;Ambulancia SVB;Anulado Indicación Alertante
2005;09;Septiembre;;38019;Guia de Isora;Tenerife;Tenerife;NA;NA
2010;06;Junio;;38043;Tacoronte;Tenerife;Tenerife;Guardia Civil;Actuación in situ
2011;06;Junio;Ho;35029;Tinajo;Las Palmas;Lanzarote;Ambulancia SVB;Sin Recurso Disponible
2013;04;Abril;Ho;38024;Llanos de Aridane Los;Tenerife;La Palma;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;05;Mayo;Ho;38041;Sauzal;Tenerife;Tenerife;NA;NA
2010;02;Febrero;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;NA;NA
2008;09;Septiembre;Ho;35001;Agaete;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;04;Abril;;38001;Adeje;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2014;04;Abril;Ho;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Transp. Urg. NO Medicalizado
2010;03;Marzo;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;No Valorable / Error
2008;08;Agosto;Ho;38051;Victoria de Acentejo La;Tenerife;Tenerife;Ambulancia SVB;Falsa Alarma
2013;02;Febrero;;35028;Tías;Las Palmas;Lanzarote;Guardia Civil;Informacion sin Seguimiento
2007;04;Abril;;38001;Adeje;Tenerife;Tenerife;Cuerpo Nacional de Policia;Varios
2014;07;Julio;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;10;Octubre;Ho;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Sin Recurso Disponible
2011;01;Enero;;38017;Granadilla de Abona;Tenerife;Tenerife;Guardia Civil;Actuación in situ
2011;09;Septiembre;;38003;Alajero;Tenerife;La Gomera;NA;NA
2005;08;Agosto;;38017;Granadilla de Abona;Tenerife;Tenerife;Bomberos;Incidente Resuelto
2011;01;Enero;Ho;38043;Tacoronte;Tenerife;Tenerife;Cuerpo Nacional de Policia;Rechazo Inicial Protocolo
2013;02;Febrero;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2008;07;Julio;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Intervención Pospuesta
2010;02;Febrero;Ho;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;08;Agosto;;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;AAVV Proteccion Civil;No Valorable / Error
2006;12;Diciembre;Ho;35011;Ingenio;Las Palmas;Gran Canaria;Ambulancia SVA;Rechazo Inicial Protocolo
2007;04;Abril;Mu;38008;Breña Alta;Tenerife;La Palma;NA;NA
2007;03;Marzo;Ho;35020;San Nicolás Tolentino;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2006;07;Julio;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2010;11;Noviembre;Ho;35020;San Nicolás Tolentino;Las Palmas;Gran Canaria;Guardia Civil;Actuación in situ
2006;04;Abril;Mu;38023;Laguna La;Tenerife;Tenerife;Bomberos;Extincion de Incendios
2012;02;Febrero;;35016;Las Palmas;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2010;12;Diciembre;Ho;35017;Puerto Rosario;Las Palmas;Fuerteventura;Ambulancia SVB;Rechaza Traslado
2008;12;Diciembre;Mu;35011;Ingenio;Las Palmas;Gran Canaria;NA;NA
2010;08;Agosto;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVA;Rechazo Posterior Protocolo
2005;04;Abril;Mu;38011;Candelaria;Tenerife;Tenerife;Policia Local;Sin Recurso Disponible
2011;12;Diciembre;Ho;38005;Arico;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2008;08;Agosto;Ho;38005;Arico;Tenerife;Tenerife;Ambulancia SVB;Alta Voluntaria
2012;04;Abril;Ho;35028;Tías;Las Palmas;Lanzarote;Ambulancia SVA;Transporte Urg. Medicalizado
2009;12;Diciembre;;38053;Villa de Mazo;Tenerife;La Palma;Policia Local;Varios
2009;03;Marzo;;35026;Telde;Las Palmas;Gran Canaria;Cuerpo Nacional de Policia;Rechazo Posterior Protocolo
2012;07;Julio;;35026;Telde;Las Palmas;Gran Canaria;Bomberos;Extincion de Incendios
2005;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2013;06;Junio;;35023;Santa María Guía;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2005;12;Diciembre;Ho;38022;Icod de los Vinos;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;07;Julio;Ho;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Rechazo Posterior Protocolo
2006;11;Noviembre;Ho;38022;Icod de los Vinos;Tenerife;Tenerife;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2008;08;Agosto;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2006;08;Agosto;;38017;Granadilla de Abona;Tenerife;Tenerife;Guardia Civil;Varios
2012;08;Agosto;;38039;Santa Ursula;Tenerife;Tenerife;Bomberos;Anulado Indicación Alertante
2012;01;Enero;;35026;Telde;Las Palmas;Gran Canaria;AAVV Proteccion Civil;Sin Recurso Disponible
2005;01;Enero;Ho;38023;Laguna La;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;09;Septiembre;;35012;Mogán;Las Palmas;Gran Canaria;NA;NA
2005;09;Septiembre;;38999;DESCONOCIDO Santa Cruz de Tenerife;Tenerife;NA;NA;NA
2012;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2010;05;Mayo;Mu;35026;Telde;Las Palmas;Gran Canaria;Policia Local;Rechazo Posterior Protocolo
2012;02;Febrero;;38001;Adeje;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2008;06;Junio;;35006;Arucas;Las Palmas;Gran Canaria;Policia Local;Actuación in situ
2011;03;Marzo;;38025;Matanza de Acentejo La;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2010;10;Octubre;;38032;Rosario El;Tenerife;Tenerife;Policia Local;Anulado por Informe Otro Recu
2012;09;Septiembre;;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2006;01;Enero;Ho;35004;Arrecife;Las Palmas;Lanzarote;Ambulancia SVB;Colaboración con Otro Recurso
2005;10;Octubre;;35026;Telde;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2008;09;Septiembre;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2014;01;Enero;Mu;38036;San Sebastian de La Gomera;Tenerife;La Gomera;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;02;Febrero;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Vehículo Asistencia Médica;Asistencia in situ
2013;05;Mayo;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;NA
2006;08;Agosto;Ho;35017;Puerto Rosario;Las Palmas;Fuerteventura;Ambulancia SVB;Transp. Urg. NO Medicalizado
2007;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Intervención Pospuesta
2010;05;Mayo;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2014;04;Abril;;35012;Mogán;Las Palmas;Gran Canaria;NA;NA
2013;04;Abril;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;07;Julio;;38023;Laguna La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2012;09;Septiembre;Mu;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;NA;NA
2013;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;09;Septiembre;;35012;Mogán;Las Palmas;Gran Canaria;Policia Local;Informacion sin Seguimiento
2012;08;Agosto;Mu;38023;Laguna La;Tenerife;Tenerife;Policia Local;Actuación in situ
2014;12;Diciembre;Ho;38006;Arona;Tenerife;Tenerife;Cuerpo Nacional de Policia;Rechazo Inicial Protocolo
2009;11;Noviembre;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2013;08;Agosto;Mu;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Rechaza Traslado
2010;04;Abril;Ho;38023;Laguna La;Tenerife;Tenerife;NA;NA
2006;05;Mayo;;38028;Puerto de la Cruz;Tenerife;Tenerife;NA;NA
2007;02;Febrero;Mu;38006;Arona;Tenerife;Tenerife;Ambulancia SVB;Sin Lesiones
2012;12;Diciembre;Mu;35012;Mogán;Las Palmas;Gran Canaria;Ambulancia SVB;Asistencia in situ
2006;06;Junio;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Informacion sin Seguimiento
2010;12;Diciembre;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2009;08;Agosto;;35002;Agüimes;Las Palmas;Gran Canaria;NA;NA
2014;08;Agosto;Ho;35016;Las Palmas;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2008;07;Julio;Mu;38020;Güimar;Tenerife;Tenerife;NA;Transp. Urg. NO Medicalizado
2009;01;Enero;Mu;38028;Puerto de la Cruz;Tenerife;Tenerife;Ambulancia SVA;Asistencia in situ
2009;10;Octubre;Mu;38027;Paso EL;Tenerife;La Palma;Policia Local;Anulado Indicación Alertante
2007;07;Julio;Ho;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Salvamento Playas;Informacion sin Seguimiento
2013;08;Agosto;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Policia Local;Asistencia in situ
2014;09;Septiembre;;38019;Guia de Isora;Tenerife;Tenerife;Guardia Civil;Informacion sin Seguimiento
2010;03;Marzo;Mu;38040;Santiago del Teide;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2005;08;Agosto;;38035;San Miguel;Tenerife;Tenerife;Guardia Civil;Rechazo Inicial Protocolo
2007;07;Julio;;35011;Ingenio;Las Palmas;Gran Canaria;Bomberos;Extincion de Incendios
2006;07;Julio;Ho;38006;Arona;Tenerife;Tenerife;NA;NA
2007;06;Junio;;38038;Santa Cruz de Tenerife;Tenerife;Tenerife;Otros;Informacion sin Seguimiento
2012;09;Septiembre;Mu;38026;Orotava La;Tenerife;Tenerife;Cuerpo Nacional de Policia;Informacion sin Seguimiento
2012;02;Febrero;Mu;35016;Las Palmas;Las Palmas;Gran Canaria;NA;NA
2009;04;Abril;Mu;35013;Moya;Las Palmas;Gran Canaria;NA;Transp. Urg. NO Medicalizado
2010;10;Octubre;;35011;Ingenio;Las Palmas;Gran Canaria;Guardia Civil;Rechazo Posterior Protocolo
2009;05;Mayo;Ho;35027;Teror;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2009;08;Agosto;;38023;Laguna La;Tenerife;Tenerife;NA;NA
2007;05;Mayo;Mu;35009;Gáldar;Las Palmas;Gran Canaria;NA;NA
2006;09;Septiembre;Ho;38001;Adeje;Tenerife;Tenerife;Ambulancia SVB;Transp. Urg. NO Medicalizado
2014;05;Mayo;Ho;35019;San Bartolomé Tirajana;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
2011;08;Agosto;Ho;38037;Santa Cruz de La Palma;Tenerife;La Palma;Ambulancia Sanitarizada;Transporte Urg. Sanitarizado
2014;03;Marzo;Ho;35026;Telde;Las Palmas;Gran Canaria;Ambulancia SVB;Transp. Urg. NO Medicalizado
